date,CHKP stock
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,29
2016-05-08,0
2016-05-09,25
2016-05-10,0
2016-05-11,0
2016-05-12,25
2016-05-13,0
2016-05-14,0
2016-05-15,0
2016-05-16,24
2016-05-17,72
2016-05-18,0
2016-05-19,25
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,24
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,25
2016-06-08,0
2016-06-09,25
2016-06-10,26
2016-06-11,0
2016-06-12,0
2016-06-13,25
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,37
2016-06-21,25
2016-06-22,25
2016-06-23,0
2016-06-24,26
2016-06-25,0
2016-06-26,0
2016-06-27,25
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,52
2016-07-12,0
2016-07-13,26
2016-07-14,0
2016-07-15,0
2016-07-16,30
2016-07-17,0
2016-07-18,53
2016-07-19,27
2016-07-20,0
2016-07-21,27
2016-07-22,0
2016-07-23,0
2016-07-24,0
2016-07-25,26
2016-07-26,52
2016-07-27,52
2016-07-28,26
2016-07-29,27
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,78
2016-08-03,26
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,27
2016-08-10,0
2016-08-11,28
2016-08-12,29
2016-08-13,0
2016-08-14,32
2016-08-15,0
2016-08-16,28
2016-08-17,28
2016-08-18,0
2016-08-19,29
2016-08-20,0
2016-08-21,0
2016-08-22,27
2016-08-23,27
2016-08-24,27
2016-08-25,53
2016-08-26,0
2016-08-27,30
2016-08-28,0
2016-08-29,25
2016-08-30,0
2016-08-31,25
2016-09-01,26
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,25
2016-09-07,26
2016-09-08,26
2016-09-09,0
2016-09-10,0
2016-09-11,0
2016-09-12,0
2016-09-13,25
2016-09-14,26
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,25
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,30
2016-09-25,0
2016-09-26,0
2016-09-27,0
2016-09-28,0
2016-09-29,0
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,50
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,0
2016-10-12,25
2016-10-13,25
2016-10-14,26
2016-10-15,0
2016-10-16,0
2016-10-17,25
2016-10-18,0
2016-10-19,25
2016-10-20,25
2016-10-21,0
2016-10-22,29
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,25
2016-10-28,53
2016-10-29,29
2016-10-30,0
2016-10-31,89
2016-11-01,25
2016-11-02,25
2016-11-03,0
2016-11-04,0
2016-11-05,0
2016-11-06,0
2016-11-07,24
2016-11-08,0
2016-11-09,0
2016-11-10,25
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,24
2016-11-15,0
2016-11-16,0
2016-11-17,25
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,0
2016-11-22,0
2016-11-23,24
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,27
2016-11-28,0
2016-11-29,23
2016-11-30,23
2016-12-01,24
2016-12-02,100
2016-12-03,0
2016-12-04,0
2016-12-05,32
2016-12-06,23
2016-12-07,47
2016-12-08,24
2016-12-09,37
2016-12-10,0
2016-12-11,0
2016-12-12,23
2016-12-13,0
2016-12-14,24
2016-12-15,49
2016-12-16,0
2016-12-17,0
2016-12-18,0
2016-12-19,25
2016-12-20,25
2016-12-21,0
2016-12-22,26
2016-12-23,0
2016-12-24,0
2016-12-25,0
2016-12-26,27
2016-12-27,0
2016-12-28,51
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,24
2017-01-04,0
2017-01-05,25
2017-01-06,49
2017-01-07,0
2017-01-08,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,23
2017-01-13,0
2017-01-14,27
2017-01-15,52
2017-01-16,0
2017-01-17,45
2017-01-18,57
2017-01-19,93
