date,DLTR stock
2015-12-26,0
2015-12-27,0
2015-12-28,20
2015-12-29,0
2015-12-30,20
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,19
2016-01-05,20
2016-01-06,20
2016-01-07,19
2016-01-08,40
2016-01-09,22
2016-01-10,21
2016-01-11,19
2016-01-12,19
2016-01-13,19
2016-01-14,28
2016-01-15,20
2016-01-16,22
2016-01-17,21
2016-01-18,0
2016-01-19,0
2016-01-20,19
2016-01-21,0
2016-01-22,30
2016-01-23,22
2016-01-24,0
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,19
2016-01-29,0
2016-01-30,0
2016-01-31,22
2016-02-01,38
2016-02-02,38
2016-02-03,19
2016-02-04,19
2016-02-05,20
2016-02-06,0
2016-02-07,0
2016-02-08,19
2016-02-09,19
2016-02-10,0
2016-02-11,19
2016-02-12,20
2016-02-13,21
2016-02-14,0
2016-02-15,38
2016-02-16,37
2016-02-17,47
2016-02-18,0
2016-02-19,19
2016-02-20,22
2016-02-21,0
2016-02-22,19
2016-02-23,19
2016-02-24,28
2016-02-25,38
2016-02-26,0
2016-02-27,21
2016-02-28,21
2016-02-29,18
2016-03-01,92
2016-03-02,28
2016-03-03,37
2016-03-04,29
2016-03-05,21
2016-03-06,0
2016-03-07,18
2016-03-08,19
2016-03-09,37
2016-03-10,19
2016-03-11,20
2016-03-12,0
2016-03-13,0
2016-03-14,37
2016-03-15,38
2016-03-16,19
2016-03-17,57
2016-03-18,20
2016-03-19,0
2016-03-20,21
2016-03-21,38
2016-03-22,38
2016-03-23,19
2016-03-24,30
2016-03-25,0
2016-03-26,0
2016-03-27,23
2016-03-28,49
2016-03-29,19
2016-03-30,19
2016-03-31,38
2016-04-01,29
2016-04-02,0
2016-04-03,0
2016-04-04,56
2016-04-05,0
2016-04-06,38
2016-04-07,0
2016-04-08,30
2016-04-09,22
2016-04-10,0
2016-04-11,19
2016-04-12,37
2016-04-13,19
2016-04-14,19
2016-04-15,40
2016-04-16,0
2016-04-17,0
2016-04-18,19
2016-04-19,57
2016-04-20,19
2016-04-21,38
2016-04-22,0
2016-04-23,0
2016-04-24,21
2016-04-25,0
2016-04-26,37
2016-04-27,0
2016-04-28,76
2016-04-29,0
2016-04-30,0
2016-05-01,0
2016-05-02,19
2016-05-03,19
2016-05-04,19
2016-05-05,20
2016-05-06,20
2016-05-07,45
2016-05-08,0
2016-05-09,19
2016-05-10,19
2016-05-11,19
2016-05-12,19
2016-05-13,0
2016-05-14,0
2016-05-15,0
2016-05-16,38
2016-05-17,19
2016-05-18,37
2016-05-19,19
2016-05-20,20
2016-05-21,0
2016-05-22,22
2016-05-23,19
2016-05-24,0
2016-05-25,29
2016-05-26,79
2016-05-27,20
2016-05-28,22
2016-05-29,0
2016-05-30,0
2016-05-31,57
2016-06-01,48
2016-06-02,0
2016-06-03,50
2016-06-04,0
2016-06-05,0
2016-06-06,38
2016-06-07,0
2016-06-08,0
2016-06-09,19
2016-06-10,0
2016-06-11,22
2016-06-12,0
2016-06-13,19
2016-06-14,19
2016-06-15,29
2016-06-16,38
2016-06-17,0
2016-06-18,23
2016-06-19,0
2016-06-20,19
2016-06-21,19
2016-06-22,19
2016-06-23,30
2016-06-24,30
2016-06-25,46
2016-06-26,0
2016-06-27,19
2016-06-28,19
2016-06-29,39
2016-06-30,20
2016-07-01,21
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,30
2016-07-06,20
2016-07-07,21
2016-07-08,21
2016-07-09,0
2016-07-10,23
2016-07-11,20
2016-07-12,41
2016-07-13,20
2016-07-14,0
2016-07-15,31
2016-07-16,0
2016-07-17,0
2016-07-18,40
2016-07-19,20
2016-07-20,41
2016-07-21,41
2016-07-22,42
2016-07-23,24
2016-07-24,0
2016-07-25,0
2016-07-26,41
2016-07-27,20
2016-07-28,20
2016-07-29,42
2016-07-30,0
2016-07-31,0
2016-08-01,40
2016-08-02,0
2016-08-03,30
2016-08-04,21
2016-08-05,44
2016-08-06,25
2016-08-07,0
2016-08-08,0
2016-08-09,21
2016-08-10,31
2016-08-11,21
2016-08-12,22
2016-08-13,25
2016-08-14,0
2016-08-15,22
2016-08-16,42
2016-08-17,21
2016-08-18,22
2016-08-19,44
2016-08-20,24
2016-08-21,25
2016-08-22,21
2016-08-23,0
2016-08-24,51
2016-08-25,100
2016-08-26,94
2016-08-27,23
2016-08-28,0
2016-08-29,20
2016-08-30,49
2016-08-31,20
2016-09-01,30
2016-09-02,41
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,29
2016-09-07,0
2016-09-08,30
2016-09-09,21
2016-09-10,23
2016-09-11,0
