date,SBUX stock
2014-07-24,36
2014-07-25,49
2014-07-26,13
2014-07-27,13
2014-07-28,31
2014-07-29,10
2014-07-30,31
2014-07-31,16
2014-08-01,16
2014-08-02,0
2014-08-03,0
2014-08-04,20
2014-08-05,15
2014-08-06,10
2014-08-07,15
2014-08-08,11
2014-08-09,0
2014-08-10,6
2014-08-11,20
2014-08-12,10
2014-08-13,5
2014-08-14,15
2014-08-15,5
2014-08-16,0
2014-08-17,12
2014-08-18,0
2014-08-19,10
2014-08-20,15
2014-08-21,20
2014-08-22,5
2014-08-23,0
2014-08-24,6
2014-08-25,10
2014-08-26,25
2014-08-27,15
2014-08-28,15
2014-08-29,10
2014-08-30,6
2014-08-31,6
2014-09-01,10
2014-09-02,10
2014-09-03,24
2014-09-04,15
2014-09-05,25
2014-09-06,6
2014-09-07,0
2014-09-08,24
2014-09-09,9
2014-09-10,14
2014-09-11,10
2014-09-12,10
2014-09-13,0
2014-09-14,0
2014-09-15,14
2014-09-16,10
2014-09-17,10
2014-09-18,0
2014-09-19,15
2014-09-20,0
2014-09-21,0
2014-09-22,19
2014-09-23,24
2014-09-24,5
2014-09-25,10
2014-09-26,5
2014-09-27,6
2014-09-28,11
2014-09-29,14
2014-09-30,9
2014-10-01,5
2014-10-02,15
2014-10-03,5
2014-10-04,0
2014-10-05,11
2014-10-06,14
2014-10-07,5
2014-10-08,0
2014-10-09,14
2014-10-10,10
2014-10-11,11
2014-10-12,6
2014-10-13,19
2014-10-14,9
2014-10-15,28
2014-10-16,28
2014-10-17,35
2014-10-18,17
2014-10-19,6
2014-10-20,14
2014-10-21,14
2014-10-22,14
2014-10-23,5
2014-10-24,10
2014-10-25,0
2014-10-26,5
2014-10-27,37
2014-10-28,32
2014-10-29,19
2014-10-30,24
2014-10-31,50
2014-11-01,11
2014-11-02,0
2014-11-03,23
2014-11-04,18
2014-11-05,14
2014-11-06,23
2014-11-07,29
2014-11-08,0
2014-11-09,0
2014-11-10,5
2014-11-11,5
2014-11-12,28
2014-11-13,9
2014-11-14,9
2014-11-15,5
2014-11-16,5
2014-11-17,9
2014-11-18,10
2014-11-19,10
2014-11-20,9
2014-11-21,10
2014-11-22,11
2014-11-23,11
2014-11-24,18
2014-11-25,9
2014-11-26,9
2014-11-27,10
2014-11-28,0
2014-11-29,5
2014-11-30,0
2014-12-01,22
2014-12-02,18
2014-12-03,5
2014-12-04,23
2014-12-05,29
2014-12-06,11
2014-12-07,5
2014-12-08,23
2014-12-09,23
2014-12-10,14
2014-12-11,42
2014-12-12,29
2014-12-13,11
2014-12-14,5
2014-12-15,18
2014-12-16,14
2014-12-17,19
2014-12-18,10
2014-12-19,10
2014-12-20,11
2014-12-21,6
2014-12-22,44
2014-12-23,20
2014-12-24,23
2014-12-25,6
2014-12-26,22
2014-12-27,6
2014-12-28,0
2014-12-29,20
2014-12-30,15
2014-12-31,28
2015-01-01,0
2015-01-02,10
2015-01-03,27
2015-01-04,0
2015-01-05,9
2015-01-06,9
2015-01-07,4
2015-01-08,9
2015-01-09,18
2015-01-10,5
2015-01-11,5
2015-01-12,13
2015-01-13,13
2015-01-14,9
2015-01-15,18
2015-01-16,32
2015-01-17,5
2015-01-18,0
2015-01-19,13
2015-01-20,0
2015-01-21,17
2015-01-22,35
2015-01-23,59
2015-01-24,5
2015-01-25,21
2015-01-26,17
2015-01-27,22
2015-01-28,31
2015-01-29,18
2015-01-30,18
2015-01-31,10
2015-02-01,10
2015-02-02,30
2015-02-03,9
2015-02-04,30
2015-02-05,18
2015-02-06,41
2015-02-07,0
2015-02-08,0
2015-02-09,17
2015-02-10,9
2015-02-11,26
2015-02-12,22
2015-02-13,32
2015-02-14,5
2015-02-15,5
2015-02-16,0
2015-02-17,4
2015-02-18,9
2015-02-19,22
2015-02-20,23
2015-02-21,5
2015-02-22,15
2015-02-23,21
2015-02-24,25
2015-02-25,21
2015-02-26,22
2015-02-27,18
2015-02-28,0
2015-03-01,15
2015-03-02,26
2015-03-03,17
2015-03-04,13
2015-03-05,18
2015-03-06,18
2015-03-07,5
2015-03-08,0
2015-03-09,17
2015-03-10,13
2015-03-11,13
2015-03-12,22
2015-03-13,18
2015-03-14,5
2015-03-15,10
2015-03-16,26
2015-03-17,26
2015-03-18,39
2015-03-19,77
2015-03-20,31
2015-03-21,20
2015-03-22,0
2015-03-23,39
2015-03-24,39
2015-03-25,25
2015-03-26,45
2015-03-27,40
2015-03-28,16
2015-03-29,10
2015-03-30,48
2015-03-31,39
2015-04-01,22
2015-04-02,18
2015-04-03,20
2015-04-04,16
2015-04-05,0
2015-04-06,32
2015-04-07,26
2015-04-08,35
2015-04-09,100
2015-04-10,55
