date,bankruptcy
2015-04-10,32
2015-04-11,18
2015-04-12,17
2015-04-13,34
2015-04-14,42
2015-04-15,39
2015-04-16,35
2015-04-17,34
2015-04-18,17
2015-04-19,19
2015-04-20,38
2015-04-21,38
2015-04-22,34
2015-04-23,36
2015-04-24,33
2015-04-25,19
2015-04-26,19
2015-04-27,34
2015-04-28,38
2015-04-29,38
2015-04-30,35
2015-05-01,33
2015-05-02,17
2015-05-03,16
2015-05-04,33
2015-05-05,38
2015-05-06,37
2015-05-07,33
2015-05-08,36
2015-05-09,17
2015-05-10,19
2015-05-11,35
2015-05-12,38
2015-05-13,37
2015-05-14,35
2015-05-15,31
2015-05-16,18
2015-05-17,14
2015-05-18,33
2015-05-19,37
2015-05-20,35
2015-05-21,34
2015-05-22,29
2015-05-23,17
2015-05-24,16
2015-05-25,16
2015-05-26,38
2015-05-27,38
2015-05-28,39
2015-05-29,32
2015-05-30,18
2015-05-31,19
2015-06-01,38
2015-06-02,37
2015-06-03,40
2015-06-04,37
2015-06-05,32
2015-06-06,21
2015-06-07,20
2015-06-08,34
2015-06-09,38
2015-06-10,34
2015-06-11,36
2015-06-12,33
2015-06-13,20
2015-06-14,19
2015-06-15,44
2015-06-16,46
2015-06-17,46
2015-06-18,44
2015-06-19,36
2015-06-20,21
2015-06-21,20
2015-06-22,36
2015-06-23,40
2015-06-24,35
2015-06-25,38
2015-06-26,33
2015-06-27,17
2015-06-28,20
2015-06-29,42
2015-06-30,44
2015-07-01,39
2015-07-02,36
2015-07-03,22
2015-07-04,18
2015-07-05,20
2015-07-06,40
2015-07-07,41
2015-07-08,44
2015-07-09,39
2015-07-10,36
2015-07-11,22
2015-07-12,19
2015-07-13,100
2015-07-14,92
2015-07-15,64
2015-07-16,50
2015-07-17,45
2015-07-18,33
2015-07-19,27
2015-07-20,45
2015-07-21,49
2015-07-22,51
2015-07-23,43
2015-07-24,36
2015-07-25,24
2015-07-26,21
2015-07-27,39
2015-07-28,43
2015-07-29,42
2015-07-30,41
2015-07-31,35
2015-08-01,25
2015-08-02,20
2015-08-03,38
2015-08-04,40
2015-08-05,41
2015-08-06,43
2015-08-07,39
2015-08-08,27
2015-08-09,22
2015-08-10,44
2015-08-11,44
2015-08-12,40
2015-08-13,42
2015-08-14,33
2015-08-15,21
2015-08-16,21
2015-08-17,40
2015-08-18,39
2015-08-19,38
2015-08-20,38
2015-08-21,33
2015-08-22,25
2015-08-23,22
2015-08-24,32
2015-08-25,40
2015-08-26,38
2015-08-27,42
2015-08-28,34
2015-08-29,21
2015-08-30,19
2015-08-31,39
2015-09-01,37
2015-09-02,40
2015-09-03,37
2015-09-04,34
2015-09-05,18
2015-09-06,18
2015-09-07,22
2015-09-08,35
2015-09-09,48
2015-09-10,44
2015-09-11,34
2015-09-12,20
2015-09-13,20
2015-09-14,41
2015-09-15,38
2015-09-16,39
2015-09-17,49
2015-09-18,42
2015-09-19,20
2015-09-20,21
2015-09-21,35
2015-09-22,39
2015-09-23,36
2015-09-24,36
2015-09-25,33
2015-09-26,19
2015-09-27,19
2015-09-28,33
2015-09-29,38
2015-09-30,34
2015-10-01,34
2015-10-02,33
2015-10-03,19
2015-10-04,17
2015-10-05,45
2015-10-06,42
2015-10-07,37
2015-10-08,35
2015-10-09,36
2015-10-10,21
2015-10-11,19
2015-10-12,32
2015-10-13,37
2015-10-14,35
2015-10-15,36
2015-10-16,35
2015-10-17,18
2015-10-18,19
2015-10-19,37
2015-10-20,36
2015-10-21,35
2015-10-22,35
2015-10-23,33
2015-10-24,20
2015-10-25,18
2015-10-26,37
2015-10-27,37
2015-10-28,39
2015-10-29,35
2015-10-30,32
2015-10-31,18
2015-11-01,17
2015-11-02,36
2015-11-03,37
2015-11-04,34
2015-11-05,40
2015-11-06,34
2015-11-07,19
2015-11-08,18
2015-11-09,41
2015-11-10,35
2015-11-11,33
2015-11-12,34
2015-11-13,33
2015-11-14,19
2015-11-15,18
2015-11-16,31
2015-11-17,37
2015-11-18,36
2015-11-19,35
2015-11-20,31
2015-11-21,20
2015-11-22,18
2015-11-23,32
2015-11-24,33
2015-11-25,28
2015-11-26,15
2015-11-27,21
2015-11-28,18
2015-11-29,16
2015-11-30,37
2015-12-01,36
2015-12-02,38
2015-12-03,35
2015-12-04,33
2015-12-05,17
2015-12-06,20
2015-12-07,34
2015-12-08,36
2015-12-09,36
2015-12-10,37
2015-12-11,29
2015-12-12,18
2015-12-13,19
2015-12-14,36
2015-12-15,36
2015-12-16,36
2015-12-17,36
2015-12-18,28
2015-12-19,16
2015-12-20,19
2015-12-21,30
2015-12-22,33
2015-12-23,26
2015-12-24,16
2015-12-25,11
2015-12-26,17
